"","Gender","Age","Weight","Height","Voting"
"195","Male",30.7,93.8826524239034,178.8,0
"196","Female",29.6,86.6381499700248,156.4,1
"197","Male",27.1,87.3465670181438,187.1,2
"198","Female",32,102.372970240749,190.8,2
"199","Male",31.1,95.0570828476921,180.5,0
"200","Male",23.1,71.6289459422231,160.6,0
"201","Female",27,89.0428457083181,187.5,0
"202","Male",28.6,73.9818804806098,157.1,3
"203","Male",25.8,70.3177333403379,142.2,1
"204","Male",24.3,78.0157393475994,169.4,3
"205","Female",23.2,87.9116228859872,165.7,0
"206","Male",25.8,85.6931248232722,173.5,0
"207","Male",28.7,79.1114849772304,174.9,0
"208","Male",28.9,91.1648351585493,179.4,1
"209","Female",24.5,100.450409701653,183.3,2
"210","Male",27,93.7350571995601,174.6,0
"211","Male",29.7,78.7044943954796,169.1,2
"212","Male",32.3,102.059899890423,206.3,1
"213","Male",29.5,83.338755797036,178.7,3
"214","Female",23.3,94.7731619087979,186.6,1
"215","Female",28,91.7960257468745,169.7,0
"216","Male",29.6,73.2478540821001,157.6,3
"217","Male",31.9,111.171123689041,220.5,99
"218","Male",27.7,84.2847357649356,168.8,1
"219","Male",26.7,99.9082777062431,196,1
"220","Female",23.6,84.9147276850417,169.5,0
"221","Female",23.1,72.5928117640317,161.9,0
"222","Male",30.1,82.2899901850149,151.1,2
"223","Male",25.8,106.280052881874,195.1,2
"224","Male",33.3,80.3996629357338,175.8,0
"225","Female",35,76.0210120311007,151.3,0
"226","Female",27,101.362916482054,188.7,0
"227","Female",28.1,91.4001807525754,167.1,2
"228","Male",30,99.6435500396416,193.7,2
"229","Male",31.8,76.2235335318372,147.6,1
"230","Female",23.9,98.9822534253821,189.3,0
"231","Male",26.8,92.4791431643069,173.6,0
"232","Female",28.7,80.4114225501195,166.2,1
"233","Male",25.5,107.312102875486,199.9,0
"234","Female",24.4,99.4815439183265,182.6,2
"235","Male",23.4,78.9602473294362,158,0
"236","Female",32.2,84.4172960050404,160.8,2
"237","Male",23,89.3839454829693,181.6,1
"238","Male",27.2,67.2033463163301,152.3,0
"239","Male",32.2,83.0371462084353,155.8,0
"240","Male",26.6,85.2076349508017,183.4,0
"241","Female",26.9,95.881884624809,183.8,1
"242","Male",27.3,90.3967179683968,175,99
"243","Male",33.2,96.1927834866569,199.3,0
"244","Female",31.5,93.7467701181769,170.9,0
"245","Female",30.4,71.5981693591923,136.9,0
"246","Male",23.8,90.8815163386986,172.2,0
"247","Female",25,87.7114397933707,186.2,3
"248","Male",33.1,96.1658063687384,176.4,0
"249","Male",26.3,85.2185458427295,166.4,1
"250","Male",25.3,87.8774483725429,167,0
"251","Female",24.4,89.2569509949535,183,0
"252","Male",23.2,75.8729657694697,169.8,1
"253","Male",24.5,91.0517277859151,182.6,0
"254","Female",26.9,87.2437157632783,167.6,3
"255","Female",23.3,87.220672082901,181.9,0
"256","Male",25,107.823671023175,205.4,0
"257","Female",25.2,93.2254223974422,188.6,2
"258","Female",23.7,79.46957141608,170.4,1
"259","Female",23.3,88.8368153234944,194.9,99
"260","Male",26,104.212804491632,197,0
"261","Male",27,87.4101781640202,159,1
"262","Female",31.9,95.5635735334829,172.4,1
"263","Male",30.7,98.1558426804841,193,0
"264","Female",30,86.7555077597499,169.5,2
"265","Female",28.8,94.6083845678717,184.3,0
"266","Female",29.5,91.8493952313438,187,2
"267","Female",30.8,95.1269163757563,175.9,2
"268","Female",27.9,83.9820860311389,175.7,0
"269","Female",28.9,80.843993322365,166.2,0
"270","Male",23.2,98.6732100566849,187.6,0
"271","Female",23.4,74.7949005022645,150.1,3
"272","Male",35.6,86.4671470861882,178.2,3
"273","Male",24.7,79.8264309540391,170.5,1
"274","Female",27.5,99.5457899965346,180.2,2
"275","Male",28.3,97.379506804049,175.5,0
"276","Male",31,92.0720169905573,189.4,2
"277","Male",24.1,108.67388171833,205.2,2
"278","Male",25.1,77.4227558057755,144,2
"279","Male",24.7,86.7290527397767,159.8,1
"280","Female",30.5,95.2435748660937,188,0
"281","Female",25.1,87.0636639816687,189.4,0
"282","Male",26,79.7649852970615,179.1,1
"283","Female",25.4,71.0829182820395,159.7,0
"284","Male",26.8,79.5934851266444,158.2,1
"285","Female",27.7,93.0231535414234,189.4,0
"286","Male",25.7,89.1014776995406,197.6,0
"287","Male",23.2,97.8526713149622,193,1
"288","Male",23,70.6442269925028,145.5,0
"289","Male",28.3,74.4470545781776,159.1,2
"290","Male",31.5,86.8335477266461,159.2,0
"291","Male",32.8,91.0543950710446,163.9,1
"292","Male",25.6,89.3603327319026,165.9,2
"293","Male",24,85.0205283001065,171.2,2
"294","Male",27.8,100.922194743529,195.5,1
"295","Male",23.9,88.1799848590046,186.9,0
"296","Female",31.8,80.0602528454736,152.1,2
"297","Male",28.6,92.7203361529857,191.9,1
"298","Female",32.2,63.3313875187188,143.4,3
"299","Male",25.7,95.3173487860709,171.2,0
"300","Female",26,68.7143533952534,150.8,0
"301","Female",29,86.7742109006271,165.3,2
"302","Female",24.5,80.2412131140009,159.5,3
"303","Female",28.6,72.0900770869106,130.3,0
"304","Male",26.5,93.8652352418751,192.4,0
"305","Male",29.4,98.1368223533034,184.6,0
"306","Male",30.6,95.318613438122,179.1,3
"307","Female",30.3,100.017508134991,183.9,2
"308","Female",28.1,85.8299099843949,166.7,0
"309","Female",28,96.7493542831391,184.9,2
"310","Male",28.8,76.6878372320905,151.1,0
"311","Female",28.7,76.1442655608058,154.2,1
"312","Female",23.4,94.5357834275812,183.4,0
"313","Male",28.7,112.777174396627,233.1,1
"314","Female",28.6,87.5017710665241,181.1,0
"315","Male",30.2,90.0412312967703,176.9,0
"316","Female",29.6,76.6123362885788,172.7,3
"317","Female",29,97.0089805375785,191.4,2
"318","Female",23.8,72.3901054782793,163.4,0
"319","Female",25.3,92.87103096582,175.5,1
"320","Male",27.9,88.7824044793844,190.4,0
"321","Male",23.7,98.0606305161491,194,2
"322","Male",23.7,110.602119489387,202.4,2
"323","Female",24.3,88.296258061938,187.4,2
"324","Male",25.3,91.6037475185469,183.4,1
"325","Male",29.4,77.2098491081968,160.6,0
"326","Female",28.4,87.7299381366,169.1,1
"327","Female",31.6,94.479436910525,184.9,99
"328","Female",28.5,75.2645680297166,154.9,1
"329","Female",29.1,77.1434407396242,158.7,0
"330","Male",26,104.111720150709,206.2,0
"331","Female",33,82.9652998236939,152.2,1
"332","Male",24.4,77.3176024243236,173.7,2
"333","Male",622,85.7699950532988,156.5,1
"334","Female",30.4,75.6599819563329,165.8,0
"335","Female",27.4,78.992952978611,161.2,0
"336","Male",23.8,95.7667813252658,189.9,2
"337","Male",27.9,82.6790004594252,170.4,99
"338","Male",23.9,89.5730891477317,171.9,1
"339","Female",30.8,83.2000607825816,184.3,0
"340","Male",24.3,88.5578247260302,178.4,0
"341","Female",30.7,86.5003650894389,164.4,1
"342","Male",28.6,82.5747722562403,177.4,3
"343","Female",29.6,92.0295798817649,174.1,0
"344","Female",23.7,89.6839950531721,173.5,1
"345","Male",30.3,114.007812357321,210.9,0
"346","Female",24.7,79.2253690745681,150.6,1
"347","Male",28.3,85.3148025630042,188.6,2
"348","Male",24.8,95.4681019779295,206.8,2
"349","Female",27.8,94.6588479433209,173.2,3
"350","Male",27.6,89.203817559965,193.3,0
"351","Male",31.1,82.0284641189501,166.5,2
"352","Male",25.2,99.558693375811,179.2,2
"353","Male",27.2,88.6569806655869,159.6,1
"354","Male",27.3,102.165800130554,184.8,0
"355","Female",26.5,105.051437007077,190.9,0
"356","Female",25.2,73.3982335744426,151.8,1
"357","Male",25.9,96.4602827586234,176.9,2
"358","Male",32.1,71.0634477673098,156.7,0
"359","Male",24.4,97.1361656427383,187.8,1
"360","Male",24.5,86.0269162239507,173.7,0
"361","Male",29.7,84.7389158260077,154.4,0
"362","Female",28.9,112.04743325375,207.2,2
"363","Male",26.9,97.5199096882716,187.5,2
"364","Female",27.1,80.1705184195191,159.9,0
"365","Female",29.4,85.6454211058095,156.7,0
"366","Male",26.9,83.0682119522244,154,1
"367","Female",24.2,93.8535230087116,179.1,2
"368","Female",27.8,72.4539478382096,156.9,0
"369","Male",26.7,92.6091991279274,190.9,1
"370","Male",28.1,98.8666559886187,179.5,0
"371","Male",25.8,90.189347298257,178.2,1
"372","Female",26.5,80.3887025387958,171.5,3
"373","Female",25,85.2110333578661,159.8,1
"374","Female",27.8,91.1804040396586,169.3,0
"375","Male",28.3,94.5643517320976,171.6,0
"376","Female",26.2,95.9960458446294,206,1
"377","Male",27,96.1135361710563,178.7,1
"378","Female",23.6,68.8709243455902,157.7,0
"379","Female",32.9,76.2913735708222,165.7,1
"380","Female",23.7,90.2626448720694,172,0
"381","Male",28.5,77.4508749779314,164.1,1
"382","Female",27.8,87.9778022663668,181,1
"383","Male",31.5,100.418661737442,184.8,1
"384","Male",27.1,85.9724262613803,174.8,1
"385","Female",23.8,90.4276646362618,189.3,0
"386","Female",23.8,84.0801192937419,154.8,1
"387","Female",32.5,80.9666804620996,162.3,1
"388","Male",23.7,83.1004608701915,177.5,1
"389","Female",25,90.8974297866225,165.5,2
"390","Female",26.5,95.150520885177,200.4,0
"391","Female",24.5,93.8314122399315,183.5,0
"392","Male",29.5,88.4493312323466,182,0
"393","Female",24.6,89.4984196070582,167,0
"394","Male",25.2,87.7571510614827,167.9,0
"395","Female",25.9,87.766739732027,179.7,0
"396","Male",28.4,83.0063390685245,175,2
"397","Female",29.9,78.2479686830193,144,2
"398","Male",25.6,93.9981137838215,183.9,1
"399","Female",24.9,79.8839860823005,156.2,1
"400","Male",30.5,NA,171.5,0
"401","Male",23.7,87.6413142206147,167,3
"402","Male",25.7,103.19944359716,192.4,2
"403","Male",26.5,91.6050529303029,168,0
"404","Male",33.3,103.317510890961,194.6,0
"405","Male",30.8,107.788436786272,220.5,0
"406","Female",27.9,75.0308986483142,168,1
"407","Male",35.4,93.0670570915565,178.4,2
"408","Female",24.6,84.5282822312787,149.8,1
"409","Female",24.1,97.0636681832373,176.6,1
"410","Female",23.8,96.7401574345306,184.4,0
"411","Male",26.7,96.840392231755,176.4,1
"412","Male",27.2,86.3788441563025,181.2,3
"413","Male",23.7,89.2252868648618,174.6,1
"414","Male",29.1,85.3319125343114,185,0
"415","Female",25.7,83.7791181616485,174,0
"416","Female",27.1,113.44035594482,215.2,2
"417","Female",25.7,72.818334947899,164.8,0
"418","Female",23.5,86.3881126239896,185.9,2
"419","Female",24.6,74.7499190310016,159.1,2
"420","Female",36,83.7373428275809,170.8,0
"421","Male",26.1,93.9292261274531,187,2
"422","Male",23.5,82.5153797565028,174.4,3
"423","Male",33.8,88.5686054717749,183.2,1
"424","Male",28.6,96.309726141952,199.3,1
"425","Female",23.1,82.1959496775642,145.6,0
"426","Male",30.8,90.7507309302688,168.2,0
"427","Female",31.5,80.2994897425175,177.7,2
"428","Male",30.7,89.4133113088086,198.3,0
"429","Male",26.9,97.6084546560422,184.6,3
"430","Male",26.9,94.8787519181147,183.2,0
"431","Female",27.2,80.73194998689,177,3
"432","Female",29.1,70.4111585875973,141.4,2
"433","Male",25.7,96.8978825241327,198.6,0
"434","Female",29.5,80.2073067434132,175.9,2
"435","Female",27.8,84.9446463249624,169.5,0
"436","Female",27.7,67.4606683788821,145.7,0
"437","Female",24.8,91.1536128694192,176.8,1
"438","Female",30.5,79.4958184754476,159.6,0
"439","Female",25.4,101.449409744889,191.1,2
"440","Male",31,74.3682443993166,154.5,0
"441","Female",27.7,90.9501763803884,172.9,0
"442","Male",23.8,88.2762983012944,169.5,2
"443","Female",27.5,86.9989958636463,157.9,0
"444","Female",36.2,85.2557273533195,160.4,1
"445","Male",28.3,98.6821944249794,206.1,0
"446","Male",24.4,78.8114516187459,146.1,1
"447","Female",24.7,74.2732890225947,145.8,2
"448","Male",28.2,102.611619162001,189.8,1
"449","Female",31.6,87.3610818777233,183.5,0
"450","Female",28,94.8956160346046,181.3,0
"451","Male",24,82.638675616309,176.6,3
"452","Male",27.7,83.5833244958892,169.6,3
"453","Male",27.9,84.7554836386815,187.6,0
"454","Female",24.3,92.8001282693818,179.2,1
"455","Male",26.3,72.2555296123028,155,0
"456","Female",30.2,72.5755863217637,165,1
"457","Male",26.9,89.9238230578601,187.6,3
"458","Female",35.9,63.6043919054791,144.5,3
"459","Male",25.4,83.3194003419951,176.9,2
"460","Female",23.1,81.0920415800065,164,1
"461","Female",23.9,80.2191127989441,152.2,0
"462","Female",31.3,93.6880901936442,176.8,2
"463","Female",27.6,82.1618836300448,173.1,0
"464","Female",24.6,71.6902010856196,151.8,2
"465","Female",34.1,94.0840950449929,181.5,0
"466","Female",26,75.7609911654145,161,3
"467","Female",25.5,78.2822605028748,146.6,3
"468","Male",23,85.3358370263129,165.1,0
"469","Male",32,94.8464625811204,196.4,0
"470","Male",24.7,96.1637822777033,193.8,0
"471","Male",29.5,78.5481224635616,168.4,3
"472","Male",30,87.4943564224988,172.9,1
"473","Female",25.8,79.7280818279833,153,0
"474","Female",24.6,73.5032754747197,163.6,3
"475","Female",25.3,72.8129286540672,157.4,0
"476","Male",24.8,89.6625810461119,171,2
"477","Female",25.5,80.8717194067314,158.4,2
"478","Female",26.5,77.2776143338531,156.6,2
"479","Female",24.7,90.2464490886778,169.5,1
"480","Female",23.6,83.2818661255762,165.4,0
"481","Male",29.7,76.6494199564681,134.8,2
"482","Female",23.8,76.5733197273687,139.9,2
"483","Male",26.1,94.595554533042,179.3,0
"484","Female",28.3,92.1859077785164,164.6,1
"485","Male",27,88.4643581837416,177.1,0
"486","Male",26.1,74.8697831040248,157.3,1
"487","Male",23.9,75.5973002400249,166.6,3
"488","Male",26.9,86.7311367487535,167.1,0
"489","Male",39.1,89.3496601419523,188.3,2
"490","Female",24.4,92.9003871804103,167.2,0
"491","Female",27.4,88.2971871748567,165.1,0
"492","Female",26.8,72.4039817580953,161.9,3
"493","Male",24.6,91.2267296181992,174.4,0
"494","Female",23.6,95.2315152525902,180.8,0
"495","Female",24.5,96.2833650337532,188.1,0
"496","Female",25,96.9070428876206,187.8,3
"497","Female",25.4,89.9531447153538,180.1,2
"498","Female",25.4,90.7584082392976,187.6,2
"499","Male",23.8,89.8780973754823,182.8,0
"500","Female",23.3,96.4899142645299,177.5,0
